player_id,positive_drivers,negative_drivers
67063,goal contributions per 90 (+0.376); league context (+0.350); seasons of top-5 history (+0.210); league minutes (+0.101); 3-season average output (+0.078),age (-1.696); position: Midfield (-0.054); position: Defender (-0.052); minutes per appearance (-0.048); height (-0.035)
67556,height (+0.184); minutes last season (+0.082); 3-season average output (+0.039); goals per 90 (+0.025); 3-season average minutes (+0.025),age (-1.809); minutes per appearance (-0.122); league minutes (-0.112); club squad rotation (-0.107); minutes consistency (-0.076)
69633,league context (+0.448); seasons of top-5 history (+0.207); position: Midfield (+0.093); 3-season average output (+0.049); gap since last season (+0.026),age (-0.981); league minutes (-0.249); minutes per appearance (-0.093); 3-season average minutes (-0.058); height (-0.054)
71271,height (+0.100); minutes per appearance (+0.066); 3-season average minutes (+0.041); disciplinary record (+0.022); league context (+0.021),age (-2.072); gap since last season (-0.293); goal contributions per 90 (-0.190); club squad rotation (-0.170); goals per 90 (-0.055)
72047,goal contributions per 90 (+0.803); seasons of top-5 history (+0.368); 3-season average output (+0.189); league context (+0.143); assists per 90 (+0.092),age (-2.051); minutes per appearance (-0.079); height (-0.042); position: Defender (-0.038); position: Midfield (-0.038)
72476,league context (+0.333); league minutes (+0.321); height (+0.164); 3-season average minutes (+0.136); minutes last season (+0.126),age (-1.131); goal contributions per 90 (-0.167); goals per 90 (-0.051); 3-season average output (-0.047); position: Midfield (-0.031)
73517,league minutes (+0.158); height (+0.143); minutes per appearance (+0.080); minutes last season (+0.076); disciplinary record (+0.057),age (-1.404); club squad rotation (-0.260); goal contributions per 90 (-0.167); minutes consistency (-0.084); goals per 90 (-0.057)
74229,league context (+0.171); 3-season average minutes (+0.109); club squad rotation (+0.106); seasons of top-5 history (+0.103); position: Midfield (+0.092),age (-1.242); goal contributions per 90 (-0.138); height (-0.093); minutes per appearance (-0.083); assists per 90 (-0.053)
74294,seasons of top-5 history (+0.234); league minutes (+0.145); position: Midfield (+0.085); height (+0.035); gap since last season (+0.023),age (-1.245); club squad rotation (-0.189); goal contributions per 90 (-0.182); minutes consistency (-0.106); assists per 90 (-0.037)
74683,seasons of top-5 history (+0.406); height (+0.234); minutes last season (+0.067); disciplinary record (+0.066); position: Midfield (+0.066),age (-1.959); league context (-0.185); goal contributions per 90 (-0.149); goals per 90 (-0.039); contributions/90 last season (-0.027)
74842,seasons of top-5 history (+0.118); 3-season average minutes (+0.086); position: Midfield (+0.080); minutes last season (+0.068); disciplinary record (+0.049),age (-1.102); league context (-0.269); league minutes (-0.162); minutes per appearance (-0.067); height (-0.044)
74960,league context (+0.318); seasons of top-5 history (+0.235); height (+0.126); disciplinary record (+0.093); minutes per appearance (+0.078),age (-1.868); league minutes (-0.349); goal contributions per 90 (-0.187); goals per 90 (-0.064); appearances (-0.053)
75921,seasons of top-5 history (+0.297); height (+0.131); club squad rotation (+0.060); 3-season average output (+0.052); position: Defender (+0.045),age (-2.018); league context (-0.151); goal contributions per 90 (-0.062); minutes per appearance (-0.052); position: Midfield (-0.030)
76467,seasons of top-5 history (+0.271); league minutes (+0.125); league context (+0.077); position: Defender (+0.025); output consistency (+0.024),age (-1.373); goal contributions per 90 (-0.262); height (-0.079); 3-season average output (-0.075); position: Midfield (-0.061)
