player_id,name,season,position,league,club_name,age,minutes,games,goal_contributions_per90,market_value_eur,log_market_value,calib_resid_all,exit_prob,exit,next_minutes,pred_eur,mispricing_ratio,exit_prob_challenger
651735,Magnus Knudsen,2024,Midfield,Germany - Bundesliga,Holstein Kiel,23.548254620123203,1853,31,0.0485698866702644,2500000.0,14.73180128983843,-0.73180171810028,0.49314437441567505,1,0.0,5295997.74448589,2.118399097794356,0.5681077999825892
652275,Hákon Arnar Haraldsson,2024,Midfield,France - Ligue 1,LOSC Lille,21.730321697467488,1766,25,0.4077010192525481,18000000.0,16.70588231586044,0.44085966413324984,0.13965050825991834,0,2477.0,11438337.891333256,0.6354632161851809,0.13545977752844157
654539,Adrien Truffert,2024,Defender,France - Ligue 1,Stade Rennais FC,23.11567419575633,2756,33,0.1306240928882438,15000000.0,16.523560759066484,-0.7879092318287684,0.11250531901406448,0,3380.0,30708510.6535085,2.0472340435672334,0.1740813995040463
654982,Bilal El Khannouss,2024,Midfield,England - Premier League,Leicester City,20.64613278576317,2197,32,0.2048247610377787,28000000.0,17.14771506813948,0.2660355644679253,0.15111119205424178,0,1635.0,20518257.600061808,0.7327949142879218,0.12241439209234177
655006,Diego Moreira,2024,Midfield,France - Ligue 1,RC Strasbourg Alsace,20.40520191649555,2578,32,0.3141970519782777,18000000.0,16.70588231586044,0.2612204258371018,0.0793173436040841,0,2045.0,13570723.423505355,0.7539290790836308,0.13698438791086665
655012,Lucas Stassin,2024,Attack,France - Ligue 1,AS Saint-Étienne,20.09034907597536,1868,28,0.8190578158458244,18000000.0,16.70588231586044,-0.6183356538504707,0.1353242066196978,1,0.0,31076444.626198445,1.7264691458999135,0.11299115230063661
655488,Gabriel Martinelli,2024,Attack,England - Premier League,Arsenal FC,23.540041067761805,2299,33,0.469769464984776,55000000.0,17.822843743196746,0.40810387216307453,0.1215603528278168,0,1073.0,33816272.09591048,0.614841310834736,0.1102919909691843
656681,Victor Boniface,2024,Attack,Germany - Bundesliga,Bayer 04 Leverkusen,24.024640657084188,1011,19,0.8902077151335313,40000000.0,17.50439001207821,-0.00668643723035145,0.16164712208712934,1,326.0,36992120.735376224,0.9248030183844056,0.21071838026547787
657430,Samú Costa,2024,Midfield,Spain - LaLiga,RCD Mallorca,24.095824777549623,2655,32,0.0677966101694915,15000000.0,16.523560759066484,-0.11776688713914218,0.10720129111615195,0,2707.0,16352510.399703389,1.090167359980226,0.2255327816723867
658115,Abel Bretones,2024,Defender,Spain - LaLiga,CA Osasuna,24.36413415468857,2068,35,0.0870406189555125,4000000.0,15.201804919084164,-0.7765511389140709,0.37181178736838766,0,1619.0,8696632.148572639,2.1741580371431595,0.3792171557048718
658536,Simon Adingra,2024,Attack,England - Premier League,Brighton & Hove Albion,23.000684462696785,1093,29,0.3293687099725526,28000000.0,17.14771506813948,0.8082838568214856,0.31653121780557747,0,1520.0,12278502.523402669,0.43851794726438104,0.206628844568065
659089,Ilya Zabarnyi,2024,Defender,England - Premier League,AFC Bournemouth,22.33538672142368,3114,36,0.0289017341040462,42000000.0,17.553180176247643,0.47274669312067785,0.049995758867219645,0,2387.0,24734289.54887845,0.5889116559256774,0.05277569987603041
659516,Warren Bondo,2024,Midfield,Italy - Serie A,AC Monza,21.297741273100616,1785,24,0.0,10000000.0,16.11809565095832,0.12945496782147892,0.2567144462296824,0,1770.0,8782788.631273655,0.8782788631273655,0.22042999895017956
659518,Félix Lemaréchal,2024,Midfield,France - Ligue 1,RC Strasbourg Alsace,21.404517453798768,1782,27,0.3535353535353535,10000000.0,16.11809565095832,-0.03768814896883832,0.21404861295504612,1,555.0,10306005.006280271,1.0306005006280272,0.19760681006913508
659543,Matthis Abline,2024,Attack,France - Ligue 1,FC Nantes,21.765913757700204,2788,34,0.3550932568149211,18000000.0,16.70588231586044,0.43800818964740174,0.10283994283133954,0,2497.0,11469470.935107673,0.637192829728204,0.1023253341540652
659813,Piero Hincapié,2024,Defender,Germany - Bundesliga,Bayer 04 Leverkusen,22.978781656399725,2670,32,0.1348314606741573,50000000.0,17.72753356339242,1.0481110373375553,0.04550983469679832,0,1882.0,16952565.901208904,0.3390513180241781,0.06841924379984958
660438,Orri Óskarsson,2024,Attack,Spain - LaLiga,Real Sociedad,20.34223134839151,937,23,0.288153681963714,15000000.0,16.523560759066484,1.1483759201635766,0.3179236906916412,1,830.0,4860989.972847415,0.3240659981898277,0.368857389187596
660860,Diego Coppola,2024,Defender,Italy - Serie A,Hellas Verona,21.01300479123888,2926,34,0.0615174299384825,10000000.0,16.11809565095832,-1.0613055366044786,0.12918228770522389,0,1364.0,27139272.56385668,2.713927256385668,0.21417605434622508
660867,Julio Enciso,2024,Midfield,England - Premier League,Ipswich Town,20.94182067077344,1165,25,0.3862660944206008,22000000.0,16.90655301132259,0.5014379567977723,0.2971566985285637,0,1893.0,13070179.64873274,0.5940990749423973,0.27244219403880415
661053,Jarrad Branthwaite,2024,Defender,England - Premier League,Everton FC,22.5160848733744,2510,30,0.0358565737051792,50000000.0,17.72753356339242,0.3987050864194954,0.07474932166950196,1,681.0,31210574.652517725,0.6242114930503545,0.07854194048877479
661145,Jon Aramburu,2024,Defender,Spain - LaLiga,Real Sociedad,22.444900752908968,2462,35,0.0731112916328188,15000000.0,16.523560759066484,0.7664550093100222,0.11002850410773964,0,2779.0,7031322.959755133,0.46875486398367555,0.16915760931615728
661171,Willian Pacho,2024,Defender,France - Ligue 1,Paris Saint-Germain,23.21149897330596,2130,28,0.0422535211267605,65000000.0,17.98989782785991,1.911976252134139,0.04271388750220791,0,1915.0,9566703.364335978,0.14718005175901505,0.06642965365963197
662242,Rassoul Ndiaye,2024,Midfield,France - Ligue 1,Le Havre AC,23.05817932922656,1057,27,0.1702932828760643,2000000.0,14.50865773852422,-0.7715236200250506,0.6831204594139536,0,2577.0,4432566.028350569,2.2162830141752847,0.6305991529380862
