player_id,name,season,league,club_name,main_club_id,position,sub_position,market_value_eur,log_market_value,target_value_date,target_lag_days,prior_market_value_eur,transfer_fee_eur,age,age2,height_in_cm,foot,minutes,games,goals_per90,assists_per90,goal_contributions_per90,cards_per90,minutes_per_game,availability,prev_minutes,prev_goals_per90,prev_assists_per90,prev_goal_contributions_per90,delta_minutes,delta_goals_per90,delta_assists_per90,delta_goal_contributions_per90,roll3_mean_goal_contributions_per90,roll3_mean_minutes,roll3_std_goal_contributions_per90,roll3_std_minutes,seasons_observed,has_prior_season,has_3yr_history,is_first_observed_season,prior_gap_years,young_and_improving,club_squad_size,log_prior_market_value,has_prior_value,market_level,y_adj,pred_adj,pred_log,pred_eur,residual,mispricing_ratio,next_minutes,next_games,next_goals,next_assists,next_last_match,next_gc90,outcome_anchor,next_value_eur,d_log_value,segment_uncertainty,flag_undervalued,peer_d_log_value,rel_appreciation
48015,Lukas Hradecky,2024,Germany - Bundesliga,Bayer 04 Leverkusen,15,Goalkeeper,Goalkeeper,2000000.0,14.50865773852422,2025-06-05,19.0,2500000.0,,35.1047227926078,1232.3415623458377,192.0,right,2610,29,0.0,0.0,0.0,0.0344827586206896,90.0,1.0,2970.0,0.0,0.0,0.0,-360.0,0.0,0.0,0.0,0.0,2940.0,0.0,51.96152422706632,9,1,1,0,1.0,0,23,14.73180128983843,1,15.83041357850654,-1.3217558399823197,-1.2279371039574098,14.60247647454913,2196721.2693143,-0.0938187360249092,1.09836063465715,1441.0,17.0,0.0,0.0,2026-05-17,0.0,2026-05-17,1500000.0,-0.2876820724517799,0.579806104461345,False,-0.16823611831060603,-0.11944595414117387
51471,Mateo Kovacic,2024,England - Premier League,Manchester City,281,Midfield,Central Midfield,20000000.0,16.811242831518264,2025-05-30,10.0,30000000.0,,30.65845311430527,939.9407473620546,178.0,right,2203,31,0.2451202905129369,0.0817067635043123,0.3268270540172492,0.2451202905129369,71.06451612903226,0.7896057347670251,1548.0,0.0581395348837209,0.0,0.0581395348837209,655.0,0.186980755629216,0.0817067635043123,0.2686875191335283,0.2071272083035949,1603.0,0.1784427913351857,88.42510955605314,9,1,1,0,1.0,0,30,17.216707939626428,1,15.83041357850654,0.9808292530117235,0.46187017268430336,16.292283751190844,11902794.366034234,0.51895908032742,0.5951397183017118,126.0,6.0,0.0,1.0,2026-05-24,0.7142857142857143,2026-05-24,10000000.0,-0.6931471805599436,0.3167842881045617,False,-0.2076393647782453,-0.4855078157816983
53622,İlkay Gündoğan,2024,England - Premier League,Manchester City,281,Midfield,Central Midfield,5000000.0,15.424948470398377,2025-05-30,5.0,15000000.0,,34.19028062970568,1168.9752895380277,180.0,right,2229,33,0.0403768506056527,0.2826379542395693,0.3230148048452221,0.0403768506056527,67.54545454545455,0.7505050505050505,2998.0,0.1501000667111407,0.2701801200800534,0.4202801867911941,-769.0,-0.109723216105488,0.0124578341595159,-0.097265381945972,0.4833152596744239,2404.0,0.0577560570713116,572.8271990749042,8,1,1,0,1.0,0,30,16.523560759066484,1,15.83041357850654,-0.4054651081081637,-0.484581440153422,15.345832138353119,4619662.176215595,0.07911633204525792,0.923932435243119,,,,,,,2026-05-24,,,0.3167842881045617,False,-0.2076393647782453,
54906,Matteo Darmian,2024,Italy - Serie A,Inter Milan,46,Defender,Right-Back,2500000.0,14.73180128983843,2025-06-17,25.0,4000000.0,,35.082819986310746,1230.8042581918846,183.0,right,1782,29,0.1515151515151515,0.101010101010101,0.2525252525252525,0.1515151515151515,61.44827586206897,0.6827586206896552,2411.0,0.074657818332642,0.074657818332642,0.1493156366652841,-629.0,0.0768573331825095,0.0263522826774589,0.1032096158599683,0.1538063257190236,1983.0,0.0234371492113948,453.9074795594362,7,1,1,0,1.0,0,26,15.201804919084164,1,15.83041357850654,-1.098612288668111,-1.6037955240868118,14.22661805441973,1508487.5049025915,0.5051832354187002,0.6033950019610366,246.0,6.0,0.0,0.0,2026-05-17,0.0,2026-05-17,1400000.0,-0.5798184952529422,0.39329725670178206,False,-0.17242024314586502,-0.40739825210707714
55089,Oliver Baumann,2024,Germany - Bundesliga,TSG 1899 Hoffenheim,533,Goalkeeper,Goalkeeper,3000000.0,14.914122846632385,2025-06-05,19.0,3000000.0,,34.5845311430527,1196.0897943847822,187.0,right,2520,28,0.0,0.0,0.0,0.0357142857142857,90.0,1.0,3060.0,0.0,0.0294117647058823,0.0294117647058823,-540.0,0.0,-0.0294117647058823,-0.0294117647058823,0.0196078431372548,3030.0,0.016980890270283,51.96152422706632,9,1,1,0,1.0,0,35,14.914122846632385,1,15.83041357850654,-0.916290731874156,-1.4279418428449928,14.402471735661548,1798514.736148773,0.5116511109708366,0.599504912049591,3060.0,34.0,0.0,0.0,2026-05-16,0.0,2026-05-16,2500000.0,-0.1823215567939549,0.579806104461345,False,-0.16823611831060603,-0.014085438483348867
55508,Lewis Holtby,2024,Germany - Bundesliga,Holstein Kiel,269,Midfield,Central Midfield,500000.0,13.122363377404328,2025-06-05,19.0,500000.0,,34.288843258042434,1175.7247719746022,176.0,left,1235,25,0.0,0.145748987854251,0.145748987854251,0.145748987854251,49.4,0.5488888888888889,1197.0,0.4511278195488721,0.0,0.4511278195488721,38.0,-0.4511278195488721,0.145748987854251,-0.3053788316946211,0.3093563780432932,2175.0,0.1246897058130219,881.1424402444817,3,1,1,0,7.0,0,27,13.122363377404328,1,15.83041357850654,-2.7080502011022123,-2.1202063869645653,13.710207191541976,900051.4357817188,-0.5878438141376474,1.8001028715634377,,,,,,,2026-05-24,300000.0,-0.5108256237659905,0.31893985164780325,False,-0.1823215567939549,-0.3285040669720356
55735,Henrikh Mkhitaryan,2024,Italy - Serie A,Inter Milan,46,Midfield,Central Midfield,4000000.0,15.201804919084164,2025-06-17,30.0,6000000.0,,35.945242984257355,1292.0604931973023,177.0,both,2412,32,0.0373134328358208,0.1865671641791044,0.2238805970149253,0.1492537313432835,75.375,0.8375,2804.0,0.0641940085592011,0.3209700427960057,0.3851640513552068,-392.0,-0.0268805757233802,-0.1344028786169013,-0.1612834543402815,0.3352825015308722,2435.333333333333,0.0956521670529214,406.12477557190886,9,1,1,0,1.0,0,26,15.60727002719233,1,15.83041357850654,-0.6286086594223761,-1.33261664089415,14.49779693761239,1978395.929293944,0.7040079814717739,0.49459898232348604,1556.0,30.0,4.0,2.0,2026-05-23,0.3470437017994859,2026-05-23,3000000.0,-0.2876820724517799,0.4355277462595577,False,-0.15415067982725716,-0.13353139262452274
55769,Danilo D'Ambrosio,2024,Italy - Serie A,AC Monza,2919,Defender,Centre-Back,700000.0,13.458835614025542,2025-06-17,73.0,1000000.0,,36.31211498973306,1318.5696950275965,180.0,right,1095,20,0.0,0.0821917808219178,0.0821917808219178,0.2465753424657534,54.75,0.6083333333333333,1536.0,0.0,0.0,0.0,-441.0,0.0,0.0821917808219178,0.0821917808219178,0.2057014110882716,1256.0,0.2189425145253001,271.89887826175527,7,1,1,0,1.0,0,36,13.815510557964274,1,15.83041357850654,-2.3715779644809984,-2.0137417615044315,13.81667181700211,1001161.9335601854,-0.3578362029765678,1.4302313336574077,,,,,,,2026-05-24,,,0.39329725670178206,False,-0.17242024314586502,
57071,Péter Gulácsi,2024,Germany - Bundesliga,RB Leipzig,23826,Goalkeeper,Goalkeeper,2000000.0,14.50865773852422,2025-06-05,19.0,3000000.0,,34.65845311430527,1201.2083722764964,193.0,right,2632,30,0.0,0.0,0.0,0.0,87.73333333333333,0.9748148148148148,1170.0,0.0,0.0,0.0,1462.0,0.0,0.0,0.0,0.0,2369.0,0.0,1038.3655425715936,7,1,1,0,1.0,0,29,14.914122846632385,1,15.83041357850654,-1.3217558399823197,-1.2703094741346246,14.560104104371916,2105585.4382656426,-0.051446365847695574,1.0527927191328212,2009.0,23.0,0.0,0.0,2026-05-16,0.0,2026-05-16,1000000.0,-0.6931471805599454,0.579806104461345,False,-0.16823611831060603,-0.5249110622493394
58358,Thomas Müller,2024,Germany - Bundesliga,Bayern Munich,27,Attack,Second Striker,6000000.0,15.60727002719233,2025-06-05,19.0,8000000.0,,35.30184804928131,1246.2204756945466,185.0,right,1218,30,0.0738916256157635,0.2955665024630542,0.3694581280788177,0.2216748768472906,40.6,0.4511111111111111,1666.0,0.2701080432172869,0.5942376950780311,0.864345738295318,-448.0,-0.1962164176015233,-0.2986711926149769,-0.4948876102165003,0.8953703264406823,1970.6666666666667,0.1050250233110568,525.9670458625079,9,1,1,0,1.0,0,29,15.89495209964411,1,15.83041357850654,-0.2231435513142106,-1.2310557595577416,14.5993578189488,2189881.1237983927,1.0079122082435301,0.36498018729973214,,,,,,,2026-05-24,4000000.0,-0.4054651081081655,0.4301634824676839,False,-0.2231435513142106,-0.1823215567939549
58995,Anthony Jung,2024,Germany - Bundesliga,SV Werder Bremen,86,Defender,Centre-Back,1000000.0,13.815510557964274,2025-06-05,19.0,1000000.0,,33.163586584531146,1099.823475149694,186.0,left,1898,28,0.0,0.0,0.0,0.0474183350895679,67.78571428571429,0.7531746031746032,2582.0,0.034856700232378,0.0,0.034856700232378,-684.0,-0.034856700232378,0.0,-0.034856700232378,0.1369729421465495,2608.5,0.1444141742535932,37.476659402887016,2,1,0,0,1.0,0,23,13.815510557964274,1,15.83041357850654,-2.014903020542267,-1.0808472118572923,14.749566366649248,2544809.535974309,-0.934055808684974,2.544809535974309,521.0,12.0,0.0,0.0,2026-05-10,0.0,2026-05-10,600000.0,-0.5108256237659905,0.4233984470101193,True,-0.1823215567939549,-0.3285040669720356
59323,Cristhian Stuani,2024,Spain - LaLiga,Girona FC,12321,Attack,Centre-Forward,1000000.0,13.815510557964274,2025-06-09,15.0,1800000.0,,38.223134839151264,1461.0080369319392,184.0,right,1059,32,0.9348441926345608,0.1699716713881019,1.1048158640226629,0.3399433427762039,33.09375,0.3677083333333333,1073.0,0.7548928238583411,0.0,0.7548928238583411,-14.0,0.1799513687762196,0.1699716713881019,0.3499230401643217,0.691623230825212,2176.0,0.0644027060273073,955.2324324477262,4,1,1,0,2.0,0,30,14.403297222866392,1,15.83041357850654,-2.014903020542267,-1.002293884102804,14.828119694403737,2752774.016273665,-1.0126091364394636,2.7527740162736647,396.0,21.0,5.0,0.0,2026-05-23,1.1363636363636362,2026-05-23,700000.0,-0.35667494393873156,0.37904911067644154,True,-0.15415067982725716,-0.2025242641114744
59377,David de Gea,2024,Italy - Serie A,ACF Fiorentina,430,Goalkeeper,Goalkeeper,5000000.0,15.424948470398377,2025-06-17,23.0,5000000.0,,34.15195071868583,1166.3557378915457,192.0,right,3150,35,0.0,0.0285714285714285,0.0285714285714285,0.0285714285714285,90.0,1.0,3420.0,0.0,0.0,0.0,-270.0,0.0,0.0285714285714285,0.0285714285714285,0.0105820105820105,3225.0,0.0183285799742738,337.7499074759311,8,1,1,0,2.0,0,34,15.424948470398377,1,15.83041357850654,-0.4054651081081637,-1.0000372893372815,14.830376289169259,2758992.925849845,0.5945721812291183,0.551798585169969,3330.0,37.0,0.0,0.0,2026-05-17,0.0,2026-05-17,3500000.0,-0.35667494393873334,0.5408848665307211,False,0.0,-0.35667494393873334
59561,Dani Parejo,2024,Spain - LaLiga,Villarreal CF,1050,Midfield,Central Midfield,1500000.0,14.22097566607244,2025-06-09,15.0,2500000.0,,35.71252566735113,1275.3844895412133,182.0,right,2278,36,0.1185250219490781,0.1185250219490781,0.2370500438981563,0.3160667251975417,63.27777777777778,0.7030864197530864,2586.0,0.1044083526682134,0.1740139211136891,0.2784222737819025,-308.0,0.0141166692808647,-0.055488899164611,-0.0413722298837462,0.2894979472912285,2861.6666666666665,0.1039317597951926,375.23903492751566,9,1,1,0,1.0,0,31,14.73180128983843,1,15.83041357850654,-1.6094379124341014,-1.2935193948614074,14.536894183645133,2057277.7446250748,-0.31591851757269396,1.3715184964167164,1390.0,32.0,1.0,0.0,2026-05-24,0.06474820143884892,2026-05-24,1000000.0,-0.4054651081081655,0.4461770408809116,False,-0.1823215567939549,-0.2231435513142106
60543,Mathieu Gorgelin,2024,France - Ligue 1,Le Havre AC,738,Goalkeeper,Goalkeeper,300000.0,12.611537753638338,2025-06-03,17.0,200000.0,,34.40930869267625,1184.0005247078852,187.0,left,1440,16,0.0,0.0,0.0,0.125,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,31,12.206072645530174,1,15.83041357850654,-3.218875824868203,-1.8964779674857857,13.933935611020754,1125722.5014795521,-1.3223978573824162,3.7524083382651736,90.0,1.0,0.0,0.0,2026-05-17,0.0,2026-05-17,200000.0,-0.4054651081081637,0.3445641297869999,True,-0.34258950545538536,-0.06287560265277836
60561,Anthony Lopes,2024,France - Ligue 1,FC Nantes,995,Goalkeeper,Goalkeeper,1200000.0,13.997832114758229,2025-06-03,17.0,4000000.0,,34.25325119780972,1173.2852176202528,184.0,left,1564,18,0.0,0.0,0.0,0.1150895140664961,86.88888888888889,0.965432098765432,2790.0,0.0,0.0,0.0,-1226.0,0.0,0.0,0.0,0.0,2863.6666666666665,0.0,105.082507266116,9,1,1,0,1.0,0,30,15.201804919084164,1,15.83041357850654,-1.832581463748312,-1.608656351680924,14.221757226825616,1501172.7993770498,-0.22392511206738774,1.2509773328142082,2789.0,31.0,0.0,0.0,2026-05-08,0.0,2026-05-08,900000.0,-0.2876820724517799,0.3445641297869999,False,-0.34258950545538536,0.054907433003605455
61812,Yuri Berchiche,2024,Spain - LaLiga,Athletic Bilbao,621,Defender,Left-Back,1400000.0,14.151982794585487,2025-06-09,15.0,1800000.0,,34.8911704312115,1217.3937740598476,181.0,left,2041,30,0.0,0.0881920627143557,0.0881920627143557,0.2204801567858892,68.03333333333333,0.7559259259259259,1931.0,0.1398239254272397,0.0932159502848265,0.2330398757120662,110.0,-0.1398239254272397,-0.0050238875704708,-0.1448478129977105,0.2036691195265667,1784.3333333333333,0.0808686417466107,706.5113823098204,9,1,1,0,1.0,0,31,14.403297222866392,1,15.83041357850654,-1.678430783921053,-1.4129196899623417,14.417493888544199,1825736.2504414322,-0.2655110939587111,1.3040973217438803,2709.0,32.0,0.0,7.0,2026-05-17,0.23255813953488372,2026-05-17,1000000.0,-0.33647223662121384,0.47161229060834664,False,-0.2231435513142106,-0.11332868530700324
61841,Adam Smith,2024,England - Premier League,AFC Bournemouth,989,Defender,Right-Back,750000.0,13.527828485512494,2025-05-30,5.0,1000000.0,,33.67830253251198,1134.2280614714027,174.0,right,1595,25,0.0,0.0,0.0,0.3949843260188088,63.8,0.7088888888888889,2157.0,0.0,0.0834492350486787,0.0834492350486787,-562.0,0.0,-0.0834492350486787,-0.0834492350486787,0.0552242786194232,2282.0,0.0266360308839649,613.1321227924697,7,1,1,0,1.0,0,29,13.815510557964274,1,15.83041357850654,-2.302585092994047,-1.4229844342915168,14.407429144215024,1807452.8451090513,-0.8796006587025307,2.4099371268120686,1080.0,22.0,0.0,2.0,2026-05-24,0.16666666666666666,2026-05-24,300000.0,-0.916290731874156,0.42682813849232915,True,-0.12783337150988672,-0.7884573603642693
62351,Abdoulaye Bamba,2024,France - Ligue 1,Angers SCO,1420,Defender,Centre-Back,300000.0,12.611537753638338,2025-06-03,37.0,400000.0,,34.68856947296372,1203.2968520806303,182.0,right,1511,19,0.0,0.0,0.0,0.1191264063534083,79.52631578947368,0.8836257309941521,1357.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0466019417475727,1760.3333333333333,0.0807169308381612,705.533367980093,4,1,1,0,2.0,0,30,12.89921982609012,1,15.83041357850654,-3.218875824868203,-2.5897463718220677,13.240667206684472,562793.0227089213,-0.6291294530461347,1.875976742363071,255.0,6.0,0.0,0.0,2026-05-17,0.0,2026-05-17,200000.0,-0.4054651081081637,0.5725140793154493,False,-0.1823215567939549,-0.22314355131420882
64399,Vicente Guaita,2024,Spain - LaLiga,Celta de Vigo,940,Goalkeeper,Goalkeeper,700000.0,13.458835614025542,2025-06-09,16.0,800000.0,,37.97672826830938,1442.2318899650088,190.0,right,3060,34,0.0,0.0,0.0,0.0,90.0,1.0,2402.0,0.0,0.0,0.0,658.0,0.0,0.0,0.0,0.0,2495.6666666666665,0.0,138.69510926248742,8,1,1,0,1.0,0,30,13.592367006650065,1,15.83041357850654,-2.3715779644809984,-1.3004291165731945,14.529984461933346,2043111.5266009038,-1.0711488479078035,2.9187307522870056,,,,,,,2026-05-24,,,0.5636986910783222,True,-0.13353139262452274,
65278,Pedro,2024,Italy - Serie A,Società Sportiva Lazio S.p.A.,398,Attack,Right Winger,1000000.0,13.815510557964274,2025-06-17,23.0,1000000.0,,37.43189596167009,1401.1468352852933,167.0,both,1088,30,0.8272058823529412,0.0827205882352941,0.9099264705882352,0.2481617647058823,36.266666666666666,0.4029629629629629,1895.0,0.1899736147757255,0.2374670184696569,0.4274406332453825,-807.0,0.6372322675772157,-0.1547464302343628,0.4824858373428526,0.5017873126949856,1847.0,0.0729467046353354,221.92791622506624,7,1,1,0,2.0,0,27,13.815510557964274,1,15.83041357850654,-2.014903020542267,-1.071497734689791,14.75891584381675,2568713.746434069,-0.9434052858524762,2.5687137464340686,972.0,29.0,5.0,2.0,2026-05-23,0.6481481481481481,2026-05-23,1000000.0,0.0,0.4547213607799616,True,-0.11227716020861322,0.11227716020861322
66100,Oriol Romeu,2024,Spain - LaLiga,Girona FC,12321,Midfield,Defensive Midfield,1200000.0,13.997832114758229,2025-06-09,15.0,2000000.0,,33.27310061601643,1107.0992246035528,183.0,right,1359,25,0.0,0.0,0.0,0.3311258278145695,54.36,0.604,930.0,0.0,0.0967741935483871,0.0967741935483871,429.0,0.0,-0.0967741935483871,-0.0967741935483871,0.0934732540606593,2285.333333333333,0.0324839994865472,1175.4966326337703,9,1,1,0,1.0,0,30,14.50865773852422,1,15.83041357850654,-1.832581463748312,-1.7100962806872697,14.120317297819271,1356362.8467944185,-0.12248518306104295,1.130302372328682,,,,,,,2026-05-24,,,0.4461770408809116,False,-0.1823215567939549,
67063,Danny Welbeck,2024,England - Premier League,Brighton & Hove Albion,1237,Attack,Centre-Forward,5000000.0,15.424948470398377,2025-05-30,11.0,5000000.0,,34.09993155373032,1162.8053319690928,185.0,right,2121,30,0.4243281471004243,0.1697312588401697,0.594059405940594,0.1697312588401697,70.7,0.7855555555555556,1703.0,0.2642395772166764,0.0528479154433352,0.3170874926600118,418.0,0.1600885698837479,0.1168833433968345,0.2769719132805822,0.450260591189446,1678.3333333333333,0.1196705657292936,191.19710597530843,5,1,1,0,1.0,0,32,15.424948470398377,1,15.83041357850654,-0.4054651081081637,-0.7867433116323553,15.043670266874186,3414939.2677946803,0.3812782035241913,0.6829878535589361,2266.0,37.0,13.0,1.0,2026-05-24,0.5560458958517212,2026-05-24,3000000.0,-0.5108256237659905,0.3157718396415028,False,-0.20067069546215066,-0.31015492830383984
