player_id,name,position,league,club_name,age,minutes,goal_contributions_per90,market_value_eur,pred_eur,mispricing_ratio,residual,calibrated_residual,seg_unc
408471,Javi Puado,Attack,Spain - LaLiga,RCD Espanyol Barcelona,26.60643394934976,2989,0.4817664770826363,10000000.0,19059333.29598582,1.905933329598582,-0.6449718253959738,-0.7218698334060469,0.37904911067644154
333903,Lars Ritzka,Defender,Germany - Bundesliga,FC St. Pauli,26.65571526351814,919,0.0979325353645266,1000000.0,2276925.7690163795,2.2769257690163798,-0.8228261862060542,-0.702346576754741,0.4233984470101193
651735,Magnus Knudsen,Midfield,Germany - Bundesliga,Holstein Kiel,23.548254620123203,1853,0.0485698866702644,2500000.0,5295997.74448589,2.118399097794356,-0.7506606608703343,-0.6959972651680535,0.3189398516478032
524285,Luca Netz,Defender,Germany - Bundesliga,Borussia Mönchengladbach,21.634496919917865,959,0.1876955161626694,6000000.0,11689928.851018948,1.9483214751698248,-0.6669682199259324,-0.6891359277648781,0.4233984470101193
401320,Dara O'Shea,Defender,England - Premier League,Ipswich Town,25.831622176591377,3123,0.0576368876080691,14000000.0,24880833.261807144,1.7772023758433677,-0.5750404289250923,-0.6841274926069327,0.4268281384923291
655012,Lucas Stassin,Attack,France - Ligue 1,AS Saint-Étienne,20.09034907597536,1868,0.8190578158458244,18000000.0,31076444.626198445,1.7264691458999135,-0.5460783667932994,-0.6832850127936132,0.5384759850371825
585973,Johann Lepenant,Midfield,France - Ligue 1,FC Nantes,22.195756331279945,2054,0.1314508276533593,6000000.0,11589845.165296908,1.9316408608828175,-0.6583698286984667,-0.6796246933246342,0.5289156290844801
613393,Gaetano Oristanio,Midfield,Italy - Serie A,Venezia FC,22.261464750171115,2332,0.2315608919382504,6000000.0,11509371.513197908,1.9182285855329848,-0.6514021484699821,-0.6719185574785926,0.4355277462595577
324795,Mahdi Camara,Midfield,France - Ligue 1,Stade Brestois 29,26.50787132101301,2670,0.3033707865168539,9000000.0,16391597.762385825,1.8212886402650916,-0.5995442946454368,-0.6589656787484417,0.5289156290844801
391005,Mads Roerslev,Defender,England - Premier League,Brentford FC,25.52498288843258,1393,0.1292175161521895,6000000.0,11366311.703805486,1.894385283967581,-0.6388943975014794,-0.6580880367224384,0.4268281384923291
429014,Morgan Gibbs-White,Midfield,England - Premier League,Nottingham Forest,24.93086926762492,2824,0.5417847025495751,50000000.0,74489394.1212337,1.489787882424674,-0.3986337490342997,-0.6575689449746054,0.3167842881045617
583699,Andrej Ilic,Attack,Germany - Bundesliga,1.FC Union Berlin,24.747433264887064,943,0.6680805938494168,4000000.0,7853420.580326825,1.9633551450817064,-0.6746548184829315,-0.6563969035182604,0.4301634824676839
