player_id,name,position,league,club_name,age,minutes,goal_contributions_per90,market_value_eur,pred_eur,mispricing_ratio,residual,segment_uncertainty
512352,Lasse Rosenboom,Defender,Germany - Bundesliga,Holstein Kiel,22.951403148528406,1738,0.2071346375143843,1500000.0,6835281.458298645,4.55685430553243,-1.5166325401955785,0.4233984470101193
904662,Louis Mouton,Midfield,France - Ligue 1,AS Saint-Étienne,22.581793292265573,1043,0.0862895493767977,700000.0,3175925.689394573,4.537036699135105,-1.5122740895041051,0.5289156290844801
566574,Kirian Rodríguez,Midfield,Spain - LaLiga,UD Las Palmas,28.826830937713893,1770,0.1525423728813559,1000000.0,4427198.863332706,4.4271988633327055,-1.487767073304175,0.4461770408809116
226012,David Soria,Goalkeeper,Spain - LaLiga,Getafe CF,31.745379876796715,3420,0.0,3000000.0,12878326.8420355,4.292775614011833,-1.4569335200012254,0.5636986910783222
197929,Ivan Provedel,Goalkeeper,Italy - Serie A,Società Sportiva Lazio S.p.A.,30.79534565366188,2610,0.0,3000000.0,12863574.899371343,4.2878582997904475,-1.4557873774646524,0.5408848665307211
335631,Marco Komenda,Defender,Germany - Bundesliga,Holstein Kiel,28.098562628336754,1311,0.0,800000.0,3384226.1787444274,4.230282723430534,-1.4422688285150809,0.4233984470101193
422466,Javi Hernández,Defender,Spain - LaLiga,CD Leganés,26.6694045174538,2391,0.1129234629861982,2500000.0,10561041.89815417,4.2244167592616675,-1.4408812061348613,0.47161229060834664
633454,Alexander Bernhardsson,Attack,Germany - Bundesliga,Holstein Kiel,26.31622176591376,1271,0.7081038552321007,3000000.0,12664101.106580995,4.221367035526998,-1.4401590176580257,0.4301634824676839
241076,Emmanuel Gyasi,Midfield,Italy - Serie A,FC Empoli,30.973305954825463,3225,0.1395348837209302,1400000.0,5906234.712389216,4.218739080278011,-1.4395362872568072,0.4355277462595577
581357,Jan Schöppner,Midfield,Germany - Bundesliga,1. Fußballclub Heidenheim 1846,25.557837097878167,2688,0.2008928571428571,4000000.0,16433982.561977973,4.1084956404944935,-1.4130569372943462,0.31893985164780325
763182,Josué Casimir,Attack,France - Ligue 1,Le Havre AC,23.27173169062286,2006,0.448654037886341,4000000.0,15981679.30625323,3.9954198265633076,-1.3851486616977091,0.5384759850371825
829874,Lilian Raolisoa,Defender,France - Ligue 1,Angers SCO,24.54483230663929,1314,0.2054794520547945,800000.0,3151419.006041069,3.9392737575513364,-1.3709963808252255,0.5725140793154493
238537,Wladimiro Falcone,Goalkeeper,Italy - Serie A,US Lecce,29.724845995893222,3420,0.0,3500000.0,13401060.767832104,3.8288745050948867,-1.342570897106885,0.5408848665307211
948273,Mario Martín,Midfield,Spain - LaLiga,Real Valladolid CF,20.826830937713893,1750,0.0514285714285714,1500000.0,5710472.932261313,3.8069819548408756,-1.3368367373946093,0.4461770408809116
277384,Martin Valjent,Defender,Spain - LaLiga,RCD Mallorca,29.05954825462012,2765,0.0976491862567811,6000000.0,22666189.98006544,3.7776983300109066,-1.3291149167675709,0.47161229060834664
917375,Antoine Hainaut,Defender,Italy - Serie A,Parma Calcio 1913,22.869267624914443,1198,0.1502504173622704,1000000.0,3758414.4319366855,3.7584144319366857,-1.323997174830179,0.39329725670178206
60543,Mathieu Gorgelin,Goalkeeper,France - Ligue 1,Le Havre AC,34.40930869267625,1440,0.0,300000.0,1125722.5014795521,3.7524083382651736,-1.3223978573824162,0.3445641297869999
192009,Unai López,Midfield,Spain - LaLiga,Rayo Vallecano,29.17453798767967,1719,0.2094240837696334,2500000.0,9290556.787169535,3.716222714867814,-1.3127077531889384,0.4461770408809116
392569,Gabriele Zappa,Defender,Italy - Serie A,Cagliari Calcio,25.02943189596167,3062,0.0587851077726975,4000000.0,14629593.936660392,3.657398484165098,-1.2967520980013454,0.39329725670178206
386552,Lassana Coulibaly,Midfield,Italy - Serie A,US Lecce,28.72826830937714,2673,0.0673400673400673,2500000.0,8967388.20717131,3.586955282868524,-1.277303732029317,0.4355277462595577
154147,Hauke Wahl,Defender,Germany - Bundesliga,FC St. Pauli,30.715947980835043,2970,0.0,1500000.0,5346434.249151907,3.564289499434605,-1.2709647351072704,0.4233984470101193
95641,Darko Brasanac,Midfield,Spain - LaLiga,CD Leganés,32.8870636550308,1613,0.1673899566026038,500000.0,1766053.836881108,3.532107673762216,-1.26189476748719,0.4461770408809116
235931,Alessandro Deiola,Midfield,Italy - Serie A,Cagliari Calcio,29.42094455852156,1429,0.1889433170048985,1600000.0,5597573.359539315,3.498483349712072,-1.2523295459276813,0.4355277462595577
353365,Marcus Coco,Defender,France - Ligue 1,FC Nantes,28.52292950034224,955,0.094240837696335,1200000.0,4197426.344798627,3.4978552873321895,-1.2521500056240598,0.5725140793154493
495722,Devis Vásquez,Goalkeeper,Italy - Serie A,FC Empoli,26.64202600958248,2880,0.0,2000000.0,6989557.538393598,3.494778769196799,-1.2512700744539078,0.5408848665307211
284595,Tommaso Augello,Defender,Italy - Serie A,Cagliari Calcio,30.340862422997947,2715,0.2320441988950276,1800000.0,6252899.8044333635,3.473833224685202,-1.2452586599553293,0.39329725670178206
255788,Cameron Burgess,Defender,England - Premier League,Ipswich Town,29.19917864476386,1540,0.1168831168831168,2000000.0,6931212.26831046,3.4656061341552302,-1.2428875478354406,0.42682813849232915
412829,Léo Pétrot,Defender,France - Ligue 1,AS Saint-Étienne,27.71526351813826,2610,0.1034482758620689,900000.0,3075255.549848008,3.416950610942231,-1.2287485191048528,0.5725140793154493
142021,Sergi Darder,Midfield,Spain - LaLiga,RCD Mallorca,31.028062970568104,2763,0.260586319218241,4000000.0,13460989.466953864,3.365247366738466,-1.2135014720556043,0.4461770408809116
343959,Erhan Masovic,Defender,Germany - Bundesliga,VfL Bochum,26.11088295687885,907,0.1984564498346196,2000000.0,6726744.448128265,3.3633722240641326,-1.2129441087814357,0.4233984470101193
413262,Dani Raba,Attack,Spain - LaLiga,CD Leganés,29.177275838466805,1890,0.6190476190476191,2500000.0,8378211.401194547,3.351284560477819,-1.2093437232273718,0.37904911067644154
278837,Luis Rioja,Attack,Spain - LaLiga,Valencia CF,31.21149897330596,2868,0.2510460251046025,2000000.0,6668130.265015562,3.334065132507781,-1.204192319982944,0.37904911067644154
336960,Giuseppe Pezzella,Defender,Italy - Serie A,FC Empoli,27.091033538672143,2888,0.1246537396121883,2500000.0,8318573.432990151,3.3274293731960607,-1.2022000458766158,0.39329725670178206
423444,Fran Beltrán,Midfield,Spain - LaLiga,Celta de Vigo,25.911019849418206,2428,0.1112026359143327,8000000.0,26588331.67551238,3.3235414594390478,-1.2010309190535704,0.4461770408809116
197473,Alberto Grassi,Midfield,Italy - Serie A,FC Empoli,29.82340862422998,2216,0.0812274368231047,1800000.0,5958230.515748439,3.3101280643046884,-1.1969868787627913,0.4355277462595577
691841,Yanis Zouaoui,Defender,France - Ligue 1,Le Havre AC,26.680355920602327,973,0.184994861253854,800000.0,2642388.27163883,3.302985339548538,-1.1948267078727763,0.5725140793154493
212804,Florian Tardieu,Midfield,France - Ligue 1,AS Saint-Étienne,32.695414099931554,1222,0.44189852700491,600000.0,1979852.9059893235,3.2997548433155393,-1.1938481758084212,0.5289156290844801
694509,Moussa Diarra,Defender,Spain - LaLiga,Deportivo Alavés,24.142368240930868,1863,0.0,1800000.0,5937263.643931182,3.29847980218399,-1.1934616963284022,0.47161229060834664
505674,Sergio Camello,Attack,Spain - LaLiga,Rayo Vallecano,23.89048596851472,1139,0.3950834064969271,3000000.0,9840749.59653231,3.2802498655107697,-1.1879195980039974,0.37904911067644154
651269,Armin Gigovic,Midfield,Germany - Bundesliga,Holstein Kiel,22.740588637919235,1905,0.3307086614173228,3000000.0,9697526.858920315,3.2325089529734385,-1.1732586013347301,0.31893985164780325
213260,Rubén García,Attack,Spain - LaLiga,CA Osasuna,31.468856947296374,2433,0.3699136868064118,2000000.0,6463571.708739546,3.231785854369773,-1.1730348805335495,0.37904911067644154
568698,Issa Soumaré,Attack,France - Ligue 1,Le Havre AC,24.22724161533197,1904,0.4254201680672269,2000000.0,6457754.2807028955,3.2288771403514476,-1.1721344422295452,0.5384759850371825
445126,Emanuele Valeri,Defender,Italy - Serie A,Parma Calcio 1913,26.069815195071868,2879,0.2500868357068426,3000000.0,9665221.622621927,3.221740540873976,-1.1699217541609386,0.39329725670178206
213670,Lucas Torró,Midfield,Spain - LaLiga,CA Osasuna,30.455852156057496,2963,0.091123860951738,3000000.0,9605056.422976645,3.201685474325548,-1.1636773818690074,0.4461770408809116
377219,Selim Amallah,Midfield,Spain - LaLiga,Real Valladolid CF,28.128678986995208,1385,0.3249097472924188,1600000.0,5102137.998471876,3.1888362490449222,-1.1596560380249663,0.4461770408809116
43824,Kevin Müller,Goalkeeper,Germany - Bundesliga,1. Fußballclub Heidenheim 1846,33.80150581793292,2940,0.0,700000.0,2223104.16425789,3.1758630917969857,-1.1555794353389324,0.579806104461345
142031,Omar Mascarell,Midfield,Spain - LaLiga,RCD Mallorca,31.91238877481177,1990,0.0452261306532663,900000.0,2821895.8577747666,3.135439841971963,-1.1427694647132185,0.4461770408809116
390688,Juan Iglesias,Defender,Spain - LaLiga,Getafe CF,26.49965776865161,2890,0.0311418685121107,3500000.0,10901808.628492694,3.114802465283627,-1.1361657361945134,0.47161229060834664
362086,Isi Palazón,Attack,Spain - LaLiga,Rayo Vallecano,30.015058179329227,2166,0.3324099722991689,3500000.0,10835067.424362376,3.095733549817822,-1.130024889303531,0.37904911067644154
195736,Florian Grillitsch,Midfield,Spain - LaLiga,Real Valladolid CF,29.404517453798768,1226,0.0,2000000.0,6116237.051603963,3.0581185258019814,-1.1177998660108113,0.4461770408809116
646733,Jim Allevinah,Attack,France - Ligue 1,Angers SCO,29.84531143052704,1766,0.2548131370328426,1500000.0,4586191.261695926,3.0574608411306174,-1.117584781017408,0.5384759850371825
344072,Kelvin Amian,Defender,France - Ligue 1,FC Nantes,26.89664613278576,2163,0.0416088765603328,2500000.0,7491831.501376968,2.996732600550787,-1.0975225619818634,0.5725140793154493
225873,Karol Linetty,Midfield,Italy - Serie A,Torino FC,29.913757700205338,1544,0.116580310880829,1800000.0,5382954.238063532,2.990530132257518,-1.095450673444864,0.4355277462595577
220878,Issiaga Sylla,Defender,France - Ligue 1,Montpellier HSC,31.000684462696785,1133,0.0794351279788173,1500000.0,4477481.834959981,2.9849878899733207,-1.0935956898759738,0.5725140793154493
148928,Saúl Ñíguez,Midfield,Spain - LaLiga,Sevilla FC,30.11362080766598,1555,0.405144694533762,3000000.0,8952490.253064271,2.9841634176880905,-1.0933194454827664,0.4461770408809116
196793,Maximilian Wittek,Defender,Germany - Bundesliga,VfL Bochum,29.36618754277892,2715,0.0331491712707182,1500000.0,4461784.258036306,2.974522838690871,-1.090083635777674,0.4233984470101193
127573,Phillipp Mwene,Defender,Germany - Bundesliga,1.FSV Mainz 05,30.924024640657084,2618,0.2062643239113827,1800000.0,5342668.82291453,2.9681493460636275,-1.0879386427937803,0.4233984470101193
624037,Joris Chotard,Midfield,France - Ligue 1,Montpellier HSC,23.27173169062286,1871,0.0481026189203634,6000000.0,17720446.36601145,2.9534077276685746,-1.0829596655871168,0.5289156290844801
199704,Yunis Abdelhamid,Defender,France - Ligue 1,AS Saint-Étienne,37.2621492128679,1003,0.0,400000.0,1180583.1850570503,2.9514579626426256,-1.0822992728875818,0.5725140793154493
1068110,Rabby Nzingoula,Midfield,France - Ligue 1,Montpellier HSC,19.10198494182067,1695,0.0530973451327433,2500000.0,7368978.511852597,2.9475914047410385,-1.0809883638869948,0.5289156290844801
64399,Vicente Guaita,Goalkeeper,Spain - LaLiga,Celta de Vigo,37.97672826830938,3060,0.0,700000.0,2043111.5266009038,2.9187307522870056,-1.0711488479078035,0.5636986910783222
471890,Max Geschwill,Defender,Germany - Bundesliga,Holstein Kiel,23.48802190280629,1285,0.2101167315175097,1500000.0,4377962.808147998,2.918641872098665,-1.0711183957869377,0.4233984470101193
281989,Luis Milla,Midfield,Spain - LaLiga,Getafe CF,30.236824093086927,2878,0.1563585823488533,3500000.0,10185191.439441664,2.9100546969833325,-1.0681718772209585,0.4461770408809116
102423,Leandro Cabrera,Defender,Spain - LaLiga,RCD Espanyol Barcelona,33.544147843942504,2870,0.1881533101045296,1000000.0,2905952.23410478,2.90595223410478,-1.0667611280222182,0.47161229060834664
277137,Renato Tapia,Midfield,Spain - LaLiga,CD Leganés,29.43189596167009,2428,0.0370675453047775,2000000.0,5806298.810953886,2.903149405476943,-1.0657961496075732,0.4461770408809116
111811,Florent Hanin,Defender,France - Ligue 1,Angers SCO,34.90759753593429,2679,0.1007838745800672,300000.0,867074.8436362818,2.890249478787606,-1.0613428232385687,0.5725140793154493
469211,Liberato Cacace,Defender,Italy - Serie A,FC Empoli,24.26283367556468,2231,0.242043926490363,3000000.0,8669735.616419844,2.889911872139948,-1.0612260075901645,0.39329725670178206
342226,Irvin Cardona,Attack,Spain - LaLiga,RCD Espanyol Barcelona,27.40041067761807,1646,0.5467800729040098,2500000.0,7187186.870399052,2.874874748159621,-1.0560091074427707,0.37904911067644154
353399,Romain Del Castillo,Attack,France - Ligue 1,Stade Brestois 29,28.761122518822724,1259,0.7148530579825259,7000000.0,20116719.31945134,2.8738170456359056,-1.0556411271879256,0.5384759850371825
676411,Dailon Livramento,Attack,Italy - Serie A,Hellas Verona,23.66324435318275,932,0.2896995708154506,800000.0,2298395.183441796,2.8729939793022448,-1.0553546843813972,0.4547213607799616
284854,Carles Aleñá,Midfield,Spain - LaLiga,Deportivo Alavés,26.989733059548254,1549,0.1162040025823111,2500000.0,7179583.293511604,2.8718333174046418,-1.0549506123863832,0.4461770408809116
618809,Manu Sánchez,Defender,Spain - LaLiga,Deportivo Alavés,24.35592060232717,2640,0.034090909090909,6000000.0,17196351.39860106,2.8660585664335096,-1.052937764100717,0.47161229060834664
139279,Nicolas Pallois,Defender,France - Ligue 1,FC Nantes,37.28678986995209,2020,0.0891089108910891,400000.0,1144279.6148201777,2.8606990370504444,-1.0510660135155199,0.5725140793154493
480883,Miguel de la Fuente,Attack,Spain - LaLiga,CD Leganés,25.3305954825462,1719,0.2094240837696334,2000000.0,5695269.414666586,2.8476347073332926,-1.046488722448796,0.37904911067644154
314965,Pedro Pereira,Defender,Italy - Serie A,AC Monza,26.94318959616701,2674,0.1346297681376215,1500000.0,4268052.920651767,2.845368613767845,-1.0456926246574145,0.39329725670178206
852727,Diego García,Attack,Spain - LaLiga,CD Leganés,24.70636550308008,1190,0.226890756302521,1500000.0,4254882.449073239,2.8365882993821594,-1.0426020269957732,0.37904911067644154
255838,Patrick Ciurria,Midfield,Italy - Serie A,AC Monza,29.894592744695416,1107,0.1626016260162601,1500000.0,4235388.485132981,2.8235923234219875,-1.0380099478154055,0.4355277462595577
324811,Arnaud Nordin,Attack,France - Ligue 1,Montpellier HSC,26.54346338124572,1246,0.3611556982343499,5000000.0,14048260.260160226,2.809652052032045,-1.0330606507790883,0.5384759850371825
494586,Mickaël Nadé,Defender,France - Ligue 1,AS Saint-Étienne,25.831622176591377,2278,0.1580333625987708,2000000.0,5615405.099963662,2.807702549981831,-1.0323665510589883,0.5725140793154493
358008,Gianluca Gaetano,Midfield,Italy - Serie A,Cagliari Calcio,24.65982203969884,998,0.5410821643286573,4000000.0,11227594.158016339,2.806898539504085,-1.032080151198901,0.4355277462595577
424072,Mathias Pereira Lage,Attack,France - Ligue 1,Stade Brestois 29,28.087611225188223,1572,0.5152671755725191,2500000.0,7008797.238414411,2.8035188953657646,-1.0308753764788925,0.5384759850371825
227084,Benedikt Gimber,Defender,Germany - Bundesliga,1. Fußballclub Heidenheim 1846,27.86584531143053,2677,0.0,3000000.0,8366710.162610634,2.788903387536878,-1.0256484675064073,0.4233984470101193
525578,Pathé Ciss,Midfield,Spain - LaLiga,Rayo Vallecano,30.798083504449007,2147,0.2095947834187238,2000000.0,5570854.5101602385,2.785427255080119,-1.0244012745678415,0.4461770408809116
94192,Patrick Drewes,Goalkeeper,Germany - Bundesliga,VfL Bochum,31.906913073237508,1890,0.0,800000.0,2224933.1544105345,2.781166443013168,-1.0228704235195565,0.579806104461345
59323,Cristhian Stuani,Attack,Spain - LaLiga,Girona FC,38.223134839151264,1059,1.1048158640226629,1000000.0,2752774.016273665,2.7527740162736647,-1.0126091364394636,0.37904911067644154
251876,Pablo Maffeo,Defender,Spain - LaLiga,RCD Mallorca,27.47433264887064,2375,0.0757894736842105,5000000.0,13749275.989998147,2.7498551979996293,-1.011548255019278,0.47161229060834664
190289,Gerrit Holtmann,Attack,Germany - Bundesliga,VfL Bochum,29.7741273100616,1138,0.2372583479789103,700000.0,1917714.4315128669,2.739592045018381,-1.007809020635536,0.4301634824676839
493513,Karl Hein,Goalkeeper,Spain - LaLiga,Real Valladolid CF,22.72142368240931,2790,0.0,3000000.0,8178975.735145771,2.7263252450485904,-1.0029546383540477,0.5636986910783222
660860,Diego Coppola,Defender,Italy - Serie A,Hellas Verona,21.01300479123888,2926,0.0615174299384825,10000000.0,27139272.56385668,2.713927256385668,-0.9983967579531239,0.39329725670178206
72047,Iago Aspas,Attack,Spain - LaLiga,Celta de Vigo,37.42094455852156,1744,0.7740825688073395,2000000.0,5410102.796837093,2.7050513984185467,-0.9951209133817098,0.37904911067644154
280575,Elvis Rexhbecaj,Midfield,Germany - Bundesliga,FC Augsburg,27.16769336071184,1792,0.1004464285714285,3500000.0,9467631.243000062,2.7050374980000176,-0.9951157746792632,0.31893985164780325
566615,Mikael Egill Ellertsson,Midfield,Italy - Serie A,Venezia FC,22.811772758384667,2480,0.1451612903225806,3400000.0,9109956.433350377,2.679398950985405,-0.9855924973496641,0.4355277462595577
257062,Álvaro García,Attack,Spain - LaLiga,Rayo Vallecano,32.18069815195072,2565,0.3157894736842105,2000000.0,5348427.01067632,2.6742135053381597,-0.9836553204205707,0.37904911067644154
628498,Jofre Carreras,Attack,Spain - LaLiga,RCD Espanyol Barcelona,23.54277891854894,2178,0.2892561983471075,3000000.0,8013113.778474536,2.6710379261581787,-0.9824671332625741,0.37904911067644154
785353,Pablo Ibáñez,Midfield,Spain - LaLiga,CA Osasuna,26.28336755646817,1289,0.1396431342125678,2000000.0,5328819.756442301,2.6644098782211505,-0.9799825990343063,0.4461770408809116
569140,Lassine Sinayoko,Attack,France - Ligue 1,AJ Auxerre,25.06776180698152,2307,0.5461638491547465,4000000.0,10607735.150572458,2.6519337876431144,-0.9752891050598684,0.5384759850371825
481834,Andrea Carboni,Defender,Italy - Serie A,AC Monza,23.906913073237508,2196,0.040983606557377,2800000.0,7411303.710337263,2.646894182263308,-0.9733869459680999,0.39329725670178206
289432,Dylan Batubinsika,Defender,France - Ligue 1,AS Saint-Étienne,28.878850102669404,2017,0.0446207238472979,1200000.0,3133323.6169535904,2.611103014127992,-0.9597727428368277,0.5725140793154493
329373,Carlo Boukhalfa,Midfield,Germany - Bundesliga,FC St. Pauli,25.66735112936345,1654,0.1088270858524788,2000000.0,5219220.954889673,2.6096104774448365,-0.9592009678385516,0.31893985164780325
298477,Oli McBurnie,Attack,Spain - LaLiga,UD Las Palmas,28.577686516084874,1839,0.4404567699836867,2500000.0,6495830.766851171,2.5983323067404682,-0.954869818744875,0.37904911067644154
170911,Donovan Léon,Goalkeeper,France - Ligue 1,AJ Auxerre,32.16153319644079,2880,0.0625,1000000.0,2597835.5658301082,2.5978355658301084,-0.9546786236472364,0.3445641297869999
651569,Daniel Mosquera,Attack,Italy - Serie A,Hellas Verona,25.201916495551,1363,0.3961848862802641,1500000.0,3895761.725135985,2.59717448342399,-0.9544241169558454,0.4547213607799616
23951,Steve Mandanda,Goalkeeper,France - Ligue 1,Stade Rennais FC,39.76454483230664,1486,0.0,500000.0,1293761.7019696496,2.5875234039392994,-0.9507012035512776,0.3445641297869999
93936,Kike García,Attack,Spain - LaLiga,Deportivo Alavés,35.10198494182067,2555,0.4579256360078277,900000.0,2324270.5208022553,2.5825228008913945,-0.9487667509722524,0.37904911067644154
286949,Adam Masina,Defender,Italy - Serie A,Torino FC,30.99794661190965,1918,0.1876955161626694,1500000.0,3861653.917050747,2.574435944700498,-0.9456304595188634,0.39329725670178206
44058,Wojciech Szczesny,Goalkeeper,Spain - LaLiga,FC Barcelona,34.70773442847365,1350,0.0,1000000.0,2573495.0014093337,2.573495001409334,-0.9452648977770721,0.5636986910783222
65278,Pedro,Attack,Italy - Serie A,Società Sportiva Lazio S.p.A.,37.43189596167009,1088,0.9099264705882352,1000000.0,2568713.746434069,2.5687137464340686,-0.9434052858524762,0.4547213607799616
192169,Jonas Föhrenbach,Defender,Germany - Bundesliga,1. Fußballclub Heidenheim 1846,28.933607118412045,1832,0.0491266375545851,1500000.0,3827959.5511164567,2.551973034077638,-0.9368667988427184,0.4233984470101193
127181,Benjamin Lecomte,Goalkeeper,France - Ligue 1,Montpellier HSC,33.686516084873375,2673,0.0,1500000.0,3817313.7857767544,2.5448758571845027,-0.9340818697103899,0.3445641297869999
58995,Anthony Jung,Defender,Germany - Bundesliga,SV Werder Bremen,33.163586584531146,1898,0.0,1000000.0,2544809.535974309,2.544809535974309,-0.934055808684974,0.4233984470101193
283994,Ludovic Ajorque,Attack,France - Ligue 1,Stade Brestois 29,30.85010266940452,2506,0.5746209098164405,4000000.0,10173488.739100588,2.543372184775147,-0.9334908323078395,0.5384759850371825
14086,Ashley Young,Defender,England - Premier League,Everton FC,39.48254620123203,1870,0.1925133689839572,500000.0,1260537.7692248903,2.5210755384497805,-0.9246856114418396,0.42682813849232915
764859,Williot Swedberg,Attack,Spain - LaLiga,Celta de Vigo,20.91718001368925,1347,0.6013363028953229,5000000.0,12547941.223318018,2.5095882446636035,-0.920118693735926,0.37904911067644154
248454,Nikola Vasilj,Goalkeeper,Germany - Bundesliga,FC St. Pauli,29.08418891170432,2970,0.0,3500000.0,8770479.669901475,2.5058513342575646,-0.9186285307945763,0.579806104461345
